RECORDING_SESSION_LABEL,INDEX,AVERAGE_BLINK_DURATION,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,AVERAGE_X_RESOLUTION,AVERAGE_Y_RESOLUTION,BLINK_COUNT,BUTTON_PRESS_COUNT,BUTTON_RELEASE_COUNT,DATA_FILE,DURATION,END_TIME,EYE_USED,FIXATION_COUNT,FIXATION_DURATION_MAX,FIXATION_DURATION_MAX_TIME,FIXATION_DURATION_MIN,FIXATION_DURATION_MIN_TIME,GROUPING_VARIABLES,IA_COUNT,INPUT_COUNT,INTEREST_AREA_FIXATION_SEQUENCE,INTEREST_AREA_FIXATION_SEQUENCE_DWELL_TIMES,INTEREST_AREA_SET,IP_DURATION,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,MEDIAN_FIXATION_DURATION,MEDIAN_SACCADE_AMPLITUDE,MESSAGE_COUNT,PUPIL_SIZE_MAX,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,PUPIL_SIZE_MEAN,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,REACTION_TIME,RT_DEFINITION_LABEL,RT_EVENT_BUTTON_ID,RT_EVENT_END_TIME,RT_EVENT_INDEX,RT_EVENT_INPUT,RT_EVENT_MESSAGE_TEXT,RT_EVENT_POSITION_X,RT_EVENT_POSITION_Y,RT_EVENT_START_TIME,RT_EVENT_TYPE,RT_START_TIME,RUN_COUNT,SACCADE_COUNT,SAMPLE_COUNT,SD_FIXATION_DURATION,SD_SACCADE_AMPLITUDE,START_TIME,TRIAL_LABEL,VISITED_INTEREST_AREA_COUNT,Session_Name_,Trial_Index_,result,trialid,key,response_num,response
ET24_066,12,107.6,309,3.83,57.64,58.18,5,0,0,ET24_066.edf,11215,92496275,LEFT,30,776,92489398,101,92496126,RECORDING_SESSION,7,0,"[0, 2, 0, 2, 5, 4, 2, 4, 2, 4, 2, 4, 2, 4]","[253, 3068, 318, 776, 350, 852, 614, 558, 896, 210, 492, 218, 158, 507]",Custom Interest Area Set,11124,True,92496227,1,New Interest Period 01,True,92485103,270,1.86,140,685,92486254,967.4,305.7,537.94,473,92486860,896.2,250,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92485060,12,29,5562,170.29,3.51,92485060,Trial: 12,3,ET24_066,11,choice2,14,3,2.0,0
ET24_066,13,111.65,236.29,4.82,58.93,59.22,17,0,0,ET24_066.edf,22185,92519773,LEFT,70,632,92497958,62,92515228,RECORDING_SESSION,7,0,"[0, 2, 4, 0, 2, 0, 2, 4, 3, 2, 3, 2, 3, 2, 3, 4, 3, 4, 3, 0, 5, 6, 2, 5, 4, 5, 0, 4, 0, 3, 4, 2, 3, 4, 3, 4, 5, 6, 7, 3]","[167, 816, 354, 162, 252, 108, 498, 864, 708, 446, 588, 388, 336, 486, 1224, 632, 432, 390, 466, 110, 640, 742, 288, 632, 260, 164, 142, 190, 156, 242, 280, 458, 136, 550, 696, 384, 340, 230, 278, 305]",Custom Interest Area Set,22096,True,92519731,1,New Interest Period 01,True,92497635,206,2.38,114,704,92514828,489.3,776.6,552.85,433,92514748,168,1078.7,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92497588,34,69,11048,121.07,4.73,92497588,Trial: 13,6,ET24_066,12,choice1,8,1,1.0,1
ET24_066,14,110,342.46,4.56,58.05,58.55,10,0,0,ET24_066.edf,27373,92548705,LEFT,68,990,92536684,13,92548662,RECORDING_SESSION,7,0,"[0, 2, 0, 2, 5, 2, 5, 4, 3, 0, 2, 3, 4, 5, 2, 5, 2, 5, 6, 2, 0, 7, 2, 7, 2, 5, 2, 5, 7, 2, 7, 5, 6, 0, 4]","[240, 1536, 388, 1214, 852, 814, 438, 500, 600, 122, 562, 230, 1450, 138, 2024, 230, 130, 376, 738, 266, 142, 1372, 810, 234, 2872, 812, 544, 166, 1286, 1158, 296, 340, 304, 90, 13]",Custom Interest Area Set,27291,True,92548675,1,New Interest Period 01,True,92521384,293,2.11,513,694,92523720,896,618.7,559.9,467,92536542,1432.2,752.1,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92521332,30,67,13645,199.04,4.24,92521332,Trial: 14,6,ET24_066,13,choice3,16,3,3.0,1
ET24_066,15,112,284.35,6.13,58.39,58.96,1,0,0,ET24_066.edf,6749,92557505,LEFT,20,850,92556498,105,92557370,RECORDING_SESSION,7,0,"[0, 2, 5, 4, 2, 7, 3, 4, 5, 6, 7, 4]","[198, 656, 414, 598, 290, 306, 564, 416, 500, 540, 250, 955]",Custom Interest Area Set,6675,True,92557475,1,New Interest Period 01,True,92550800,251,4.86,198,652,92556952,551.4,822.8,552.57,472,92551444,922.5,307.1,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92550756,11,19,3337,186.05,6.23,92550756,Trial: 15,6,ET24_066,14,choice2,2,2,2.0,1
ET24_066,16,112.8,270.34,3.95,58.11,58.68,15,0,0,ET24_066.edf,22059,92581169,LEFT,64,578,92577302,48,92561138,RECORDING_SESSION,7,0,"[0, 2, 6, 7, 0, 2, 0, 2, 4, 3, 2, 6, 5, 2, 5, 6, 2, 6, 2, 6, 2, 6, 2, 6, 7, 6, 2, 5]","[199, 442, 228, 164, 48, 640, 86, 236, 428, 1226, 790, 146, 1888, 798, 168, 1166, 670, 764, 1462, 970, 742, 2006, 568, 158, 640, 174, 438, 57]",Custom Interest Area Set,21968,True,92581133,1,New Interest Period 01,True,92559165,241,2.01,70,646,92561190,1262.4,659.3,528.6,458,92568664,967.8,269.4,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92559110,25,63,10984,129.57,3.5,92559110,Trial: 16,6,ET24_066,15,choice4,9,4,4.0,1
ET24_066,17,127,388.42,4.6,58.4,58.81,4,0,0,ET24_066.edf,14031,92597369,LEFT,31,1402,92593108,98,92596252,RECORDING_SESSION,7,0,"[0, 2, 5, 4, 5, 2, 6, 2, 5, 2, 5, 4, 3, 2, 3]","[214, 1772, 348, 308, 448, 606, 438, 556, 772, 898, 568, 1564, 1402, 900, 1247]",Custom Interest Area Set,13957,True,92597337,1,New Interest Period 01,True,92583380,276,1.96,302,586,92584952,928.8,292.4,516.1,431,92586128,941.7,850.9,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92583338,14,30,6978,287.94,4.33,92583338,Trial: 17,5,ET24_066,16,choice1,11,1,1.0,1
ET24_066,18,97.6,353.83,4.9,58.39,58.85,5,0,0,ET24_066.edf,18759,92618001,LEFT,46,1296,92609514,132,92604200,RECORDING_SESSION,7,0,"[2, 5, 4, 0, 2, 4, 2, 0, 4, 2, 4, 2, 4, 2, 4, 3, 2, 4, 3, 4, 3, 2, 4]","[874, 228, 288, 276, 268, 1030, 822, 132, 686, 420, 516, 560, 748, 956, 466, 1494, 1368, 604, 1124, 586, 596, 1540, 694]",Custom Interest Area Set,18666,True,92617962,1,New Interest Period 01,True,92599296,258,2.05,170,557,92602690,613,886.6,497.61,429,92602348,591,791.5,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92599242,21,45,9333,241.68,4.52,92599242,Trial: 18,4,ET24_066,17,choice2,10,2,2.0,1
ET24_066,19,110.67,295.68,4.7,58.42,58.84,9,0,0,ET24_066.edf,19377,92638699,LEFT,53,696,92622374,72,92624652,RECORDING_SESSION,7,0,"[2, 5, 2, 0, 5, 6, 7, 6, 0, 2, 4, 3, 6, 7, 2, 7, 2, 5, 7, 5, 7, 5, 2, 5, 7]","[1860, 1300, 960, 146, 344, 638, 156, 782, 108, 1414, 308, 448, 212, 770, 488, 388, 198, 524, 496, 592, 390, 494, 1302, 564, 789]",Custom Interest Area Set,19303,True,92638665,1,New Interest Period 01,True,92619362,268,2,99,641,92627058,1114,605.9,517.39,152,92619654,200.7,777.5,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92619322,23,52,9651,153.57,4.58,92619322,Trial: 19,6,ET24_066,18,choice5,17,4,5.0,0
ET24_066,20,124.91,360.98,5.47,59.06,59.24,11,0,0,ET24_066.edf,22377,92662731,LEFT,51,1528,92650268,106,92657144,RECORDING_SESSION,7,0,"[0, 2, 5, 4, 3, 2, 0, 4, 5, 2, 6, 5, 3, 2, 3, 2, 3, 2, 3, 7, 2, 3, 2]","[238, 1580, 726, 346, 582, 838, 178, 1426, 308, 526, 166, 416, 2224, 872, 472, 492, 736, 770, 410, 2456, 1262, 814, 572]",Custom Interest Area Set,22301,True,92662695,1,New Interest Period 01,True,92640394,254,1.6,147,617,92657320,1620.4,842.7,514.78,450,92650062,240.5,831.7,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92640354,21,51,11150,305.45,5.75,92640354,Trial: 20,6,ET24_066,19,choice1,5,1,1.0,1
ET24_066,21,143.13,325.89,5.09,56.9,57.41,55,0,0,ET24_066.edf,90353,92754459,LEFT,218,2246,92729200,24,92726528,RECORDING_SESSION,7,0,"[0, 2, 0, 5, 2, 4, 3, 5, 6, 7, 2, 5, 6, 4, 3, 2, 5, 2, 5, 4, 5, 6, 5, 2, 5, 6, 2, 6, 2, 6, 7, 5, 2, 6, 2, 5, 4, 2, 0, 2, 5, 6, 2, 6, 2, 6, 2, 6, 7, 0, 2, 0, 7, 6, 2, 6, 2, 0, 6, 5, 4, 2, 4, 3, 2, 3, 5, 7, 2, 7, 2, 7, 2, 7, 6, 5, 0, 4, 0, 5, 0, 3, 2, 6, 0, 2, 4, 3, 2, 6, 5, 4, 7, 4, 5, 6, 4, 3, 4, 5, 4, 5, 3, 0, 4, 5, 2, 5, 2, 6, 2, 6, 7, 5, 3, 6]","[362, 462, 54, 452, 690, 506, 344, 528, 716, 784, 1174, 366, 632, 1080, 654, 590, 332, 560, 428, 1002, 230, 608, 728, 944, 654, 748, 582, 670, 1074, 442, 380, 964, 616, 324, 464, 248, 340, 200, 140, 166, 276, 400, 874, 774, 392, 646, 842, 146, 1318, 96, 394, 112, 298, 1694, 722, 1284, 554, 118, 524, 252, 472, 1580, 382, 1616, 300, 840, 160, 692, 486, 1292, 672, 456, 658, 400, 594, 918, 860, 1732, 840, 148, 1144, 1056, 2766, 62, 136, 1846, 616, 726, 424, 516, 432, 444, 428, 378, 1798, 410, 386, 250, 406, 154, 258, 130, 128, 180, 456, 620, 396, 242, 746, 944, 1362, 442, 1198, 98, 252, 162]",Custom Interest Area Set,90256,True,92754416,1,New Interest Period 01,True,92664160,255,3.91,610,931,92727732,431.4,764.9,585.26,438,92669522,1613.2,800.7,.,.,.,.,0,.,.,.,.,.,NO_MATCH,92664106,105,217,45128,234.81,4.55,92664106,Trial: 21,6,ET24_066,20,choice4,19,1,4.0,0
